ID;Filename;Link;Catalog;Title;Date;Creator;Contributor;Publisher;Width;Height;Scale;Shelfmark;;Remarks;Questions
1874/20405;204050001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20405;http://hdl.handle.net/1874/20405;Hollandiae cattorum regionis typus;1581;[Lodovico Guicciardini].;;[Antwerpen] : [Christoffel Plantijn];220;340;Schaal [ca. 1:550.000].;Kaart *Blonk* HOL-11;;;
1874/20406;204060001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20406;http://hdl.handle.net/1874/20406;Hollandt comitatus Utricht episcop:;1623;per Gerardum Mercatorem.;;[Duisburg] : [Henricus Hondius];480;350;Schaal [ca. 1:340.000].;Kaart *Blonk* HOL-12;;;
1874/20407;204070001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20407;http://hdl.handle.net/1874/20407;Hollandiæ comitatus Hollant grafschaftt;1598;[Frans Hogenberg auteur en graveur].;;[Keulen] : [s.n.];200;150;Schaal [ca. 1:1.000.000].;Kaart *Blonk* HOL-13;;;
1874/20408;0084370001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20408;http://hdl.handle.net/1874/20408;Hollãdiæ integra comita descript.;1593;[Gerard en Cornelis de Jode].;;[Antwerpen] : [Weduwe en Erven Gerard de Jode];480;340;Schaal [ca. 1:400.000].;Kaart *Blonk* HOL-14;;;
1874/20409;204090001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20409;http://hdl.handle.net/1874/20409;Hollandia;1602;[Filips Galle graveur];;[Antwerpen] : [Filips Galle];110;80;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-15;;;
1874/20410;204100001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20410;http://hdl.handle.net/1874/20410;Hollandia;1597;Henricus Nagel fecit.;;[Keulen] : Joan Bussemchr [!] exc.;280;190;Schaal [ca. 1:700.000].;Kaart *Blonk* HOL-16;;;
1874/20411;204110001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20411;http://hdl.handle.net/1874/20411;Ollandt;1667;;;[Venetia] : [per Scipion Banca];110;80;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-17;;;
1874/20412;000651a.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20412;http://hdl.handle.net/1874/20412;Ollandt;1598;;;[Venetia] : [per Scipion Banca];110;80;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-18;;;
1874/20413;000652a.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20413;http://hdl.handle.net/1874/20413;Hollandia;1598;;;[Amsterdam] : [Zacharias Heyns];140;180;Schaal [ca. 1:1.100.000].;Kaart *Blonk* HOL-19;;;
1874/20414;204140001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20414;http://hdl.handle.net/1874/20414;[Nort-Hollandia];1598;;;[Amsterdam] : [Zacharias Heyns];140;170;;Kaart *Blonk* HOL-20;;;
1874/20415;204150001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20415;http://hdl.handle.net/1874/20415;Hollandia;1602;[Pieter van den Keere];;[Middelburg etc.] : [Barent Langenes etc.];130;90;Schaal [ca. 1:1.100.000].;Kaart *Blonk* HOL-21;;;
1874/20416;204160001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20416;http://hdl.handle.net/1874/20416;Hollandia;1609;[Ambrosius en Ferdinand Arsenius graveurs];;[Antwerpen : [Johannes Keerbergen];120;90;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-22;;;
1874/20417;204170001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20417;http://hdl.handle.net/1874/20417;Hollandia;1608;[Jodocus Hondius sr. graveur];;[Amsterdam etc.] : [Jodocus Hondius sr. etc.];200;140;Schaal [ca. 1:950.000].;Kaart *Blonk* HOL-23;;;
1874/20418;204180001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20418;http://hdl.handle.net/1874/20418;Hollandia;1635;[Jodocus Hondius sr. graveur];;[Amsterdam etc.] : [Jodocus Hondius sr. etc.];200;130;Schaal [ca. 1:950.000].;Kaart *Blonk* HOL-24;;;
1874/20419;204190001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20419;http://hdl.handle.net/1874/20419;Hollandiae chorographia;1611;[Jodocus Hondius sr.];;[Amsterdam] : [Jodocus Hondius sr.];330;280;Schaal [ca. 1:750.000].;Kaart *Blonk* HOL-25;;;
1874/20420;204200001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20420;http://hdl.handle.net/1874/20420;Caerte vanden lande ende graefschappe van Hollandt, midtsgaders het landt van Utrecht, de deelen ende houcken van andere landê annex Holl[an]t gelegê, ende tselve landt naest beleyt hebben, perfect gemaect nade jegenwoirdige situatie eñ gelegentheyt;1613;[Jan Pietersz. Saenredam graveur];;[Amsterdam] : [Cornelis Claesz.];370;260;Schaal [ca. 1:480.000].;Kaart *Blonk* HOL-26;;;
1874/20421;204210001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20421;http://hdl.handle.net/1874/20421;Hollandia;1617;[Pieter van den Keere graveur];;[Arnhem etc.] : [Jan Jansz. etc.];200;120;Schaal [ca. 1:970.000].;Kaart *Blonk* HOL-27;;;
1874/20422;204220001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20422;http://hdl.handle.net/1874/20422;Comitatus Hollandia;1616;[Abraham Goos graveur].;;[Amsterdam etc.] : [Abraham Goos etc.];180;120;Schaal [ca. 1:1.200.000].;Kaart *Blonk* HOL-28;;;
1874/20423;204230001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20423;http://hdl.handle.net/1874/20423;Hollandia;1617;Petrus Kerius.;;Amstelodami : Petrus Kerius excudebat;520;380;Schaal [ca. 1:470.000].;Kaart *Blonk* HOL-29;;;
1874/20424;204240001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20424;http://hdl.handle.net/1874/20424;Hollandia Comitatus;1650;[Willem Jansz. Blaeu] ; Josua vanden Ende sculpsit.;T'Amsterdami : by Rombout van den Hoeye;480;400;Schaal [ca. 1:550.000].;Kaart *Blonk* HOL-30;;;
1874/20425;204250001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20425;http://hdl.handle.net/1874/20425;Comitatus Hollandiæ novissima descriptio;1629;designatore Balthazaro Florentio a Berckenrode ; Salomon Rogiers sculpsit.;Amstelodami : sumptibus Henrici Hondii ...;510;400;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-31;;;
1874/20426;204260001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20426;http://hdl.handle.net/1874/20426;Comitatus Hollandiæ novissima descriptio;1641;designatore Balthazaro Florentio a Berckenrode ; Salomon Rogiers sculpsit.;Amstelodami : sumptibus Joannis Janssonii;510;400;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-32;;;
1874/20427;204270001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20427;http://hdl.handle.net/1874/20427;Hollandia;1632;[Pieter van den Keere graveur];;[Amsterdam] : [Jan Evertsz. Cloppenburgh];260;190;Schaal [ca. 1:800.000].;Kaart *Blonk* HOL-33;;;
1874/20428;204280001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20428;http://hdl.handle.net/1874/20428;Hollandia;1690;[Pieter van den Keere graveur];;[Amsterdam] : [Guglielmo de Jonge];260;190;Schaal [ca. 1:800.000].;Kaart *Blonk* HOL-34;;;
1874/20429;204290001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20429;http://hdl.handle.net/1874/20429;Comitatus Hollandiae novissima descriptio;1632;designatore Balth. Flor. a Berckenr.;;Amstelodami : sumptibus Henrici Hondii.;240;160;Schaal [ca. 1:760.000].;Kaart *Blonk* HOL-35;;;
1874/20430;204300001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20430;http://hdl.handle.net/1874/20430;Novissima Delflandiæ, Schielandiæ et circumiacentium insularum ut Voornæ, Overflackeæ, Goeree, Iselmondæ, aliarumque tabula;1632;[Balthasar Florisz. van Berckenrode].;;Amstelodami : sumptibus Henrici Hondii;240;160;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-36;;;
1874/20431;204310001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20431;http://hdl.handle.net/1874/20431;Novissima tabula insular. Dordracensis, Alblasser, Crimper, Clundert etc. comprehendens item territoria Vianæ, Goricomii, Leerdami, Altenæ, Heusdenæ, ac civitat. S. Geertrudisbergam, Sevenbergam, Willemstadium, et circumjacentes regiones ad Holl. pertinentes;1632;[Balthasar Florisz. van Berckenrode].;;Amstelodami : sumptibus Henrici Hondii.;240;160;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-37;;;
1874/20432;204320001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20432;http://hdl.handle.net/1874/20432;Rhinolandiæ Amstelandiæ et circumjacent. aliquot territoriû accurata descriptio;1632;Auctore Balth. Florentio a Berckenrode.;;Amstelodami : sumptibus Henrici Hondii.;240;160;Schaal [ca. 1:360.000];Kaart *Blonk* HOL-38;;;
1874/20433;204330001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20433;http://hdl.handle.net/1874/20433;Totius Hollandiæ septentrionalis vulgo Westfrisiæ novissima tabula;1632;auct. Balth. Flor. a Berckenrode.;;Amstelodami : sumptibus Henrici Hondii.;240;160;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-39;;;
1874/20434;204340001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20434;http://hdl.handle.net/1874/20434;Carte de Hollande;1634;[Christophe Tassin];;[Paris] : [Christophe Tassin];520;370;Schaal [ca. 1:500.000].;Kaart *Blonk* HOL-40;;;
1874/20435;204350001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20435;http://hdl.handle.net/1874/20435;Hollandia;1634;[Jodocus Hondius jr. graveur];;[Amsterdam] : [Jodocus Hondius jr.];140;100;Schaal [ca. 1:1.500.000].;Kaart *Blonk* HOL-41;;;
1874/20436;000675.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20436;http://hdl.handle.net/1874/20436;Hollandia Septentr;1634;[Jodocus Hondius jr. graveur];;[Amsterdam] : [Jodocus Hondius jr.];140;100;Schaal [ca. 1:1.100.000].;Kaart *Blonk* HOL-42;;;
1874/20437;204370001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20437;http://hdl.handle.net/1874/20437;Hollandia Meridional.;1634;[Jodocus Hondius jr. graveur].;;[Amsterdam] : [Jodocus Hondius jr.];140;100;Schaal [ca. 1:1.300.000].;Kaart *Blonk* HOL-43;;;
1874/20438;204380001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20438;http://hdl.handle.net/1874/20438;Le Comte de Hollande;1635;auctore Baltha: Florentius de Berkenrode.;;[Amsterdam] : [Jacob Aertsz. Colom];230;160;Schaal [ca. 1:750.000].;Kaart *Blonk* HOL-44;;;
1874/20439;204390001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20439;http://hdl.handle.net/1874/20439;Le Comte de Hollande;1706;auctore Baltha: Florentius de Berkenrode.;;[Amsterdam] : La Feuille exc.;230;160;Schaal [ca. 1:750.000].;Kaart *Blonk* HOL-45;;;
1874/20440;204400001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20440;http://hdl.handle.net/1874/20440;La Rhinlande Amstellande et terres circõvosines;1660;auctore Balt[hasar] Flo: a Berkêrode.;;[Amsterdam] : [Jacob Aertsz. Colom];230;160;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-46;;;
1874/20441;000680.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20441;http://hdl.handle.net/1874/20441;Hollandia Comitatus;1636;[Cornelis Danckerts jr.];;Amstelodami : apud Cornelio Dankero;500;390;Schaal [ca. 1:360.000].;Kaart *Blonk* HOL-47;;;
1874/20442;204420001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20442;http://hdl.handle.net/1874/20442;Hollandiæ pars septentrionalis, vulgo Westvriesland en 't Noorder Quartier;1642;[Willem Jansz. en Joan Blaeu];;Amsterdami : apud Guiljelmum et Joannem Blaeu;500;390;Schaal [ca. 1:115.000].;Kaart *Blonk* HOL-48;;;
1874/20443;204430001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20443;http://hdl.handle.net/1874/20443;Comitatus Hollandiæ nova descriptio, ex optimis & novißimis delineationibus designata;1647;Geeraerd Coeck sculpsit.;;Amstelodami : apud Joannem Janssonium;530;400;Schaal [ca. 1:350.000].;Kaart *Blonk* HOL-49;;;
1874/20444;204440001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20444;http://hdl.handle.net/1874/20444;Comitatus Hollandiæ nova descriptio, ex optimis & novißimis delineationibus designata;1702;Geeraerd Coeck sculpsit.;;[Amsterdam] : [apud Gerardum Valk, et Petrum Schenk];530;400;Schaal [ca. 1:350.000].;Kaart *Blonk* HOL-50;;;
1874/20445;204450001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20445;http://hdl.handle.net/1874/20445;Hollandia Comitatus;1648;[Pieter van den Keere graveur];;[Amsterdam] : Johannes Janssonius];190;150;Schaal [ca. 1:990.000].;Kaart *Blonk* HOL-51;;;
1874/20446;204460001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20446;http://hdl.handle.net/1874/20446;Hollandia Comitatus;1654;[Caspar Merian].;;[Frankfurt am Main] : Caspar Merian];340;260;Schaal [ca. 1:520.000].;Kaart *Blonk* HOL-52;;;
1874/20447;204470001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20447;http://hdl.handle.net/1874/20447;Le Comté de Hollande;1695;dressé sur les memoires les plus nouveaux par le sr. Sanson, geographe ordinaire du roy.;;A Paris : chez H. Jaillot ...;570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-53;;;
1874/20448;204480001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20448;http://hdl.handle.net/1874/20448;Le Comté de Hollande;1700;dressé sur les memoires les plus nouveaux par le sr. Sanson, geographe ordinaire du roy.;;A Paris : chez H. Jaillot ...;570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-54;;;
1874/20449;204490001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20449;http://hdl.handle.net/1874/20449;Partie septentrionale du Comté de Hollande;1698;dressée sur les memoires les plus nouveaux par le sr. Sanson, geographe ordinaire du roy.;;A Paris : chez H. Jaillot ...;570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-55;;;
1874/20450;204500001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20450;http://hdl.handle.net/1874/20450;Partie meridionale du Comté de Hollande;1674;dressé sur les memoires les pl[us] recents, par le sr. Sanson, geographe ordinaire du roy ; L. Cordier sculp.;A Paris : chez H. Jaillot ...;570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-56;;;
1874/20451;204510001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20451;http://hdl.handle.net/1874/20451;Partie meridionale du Comté de Hollande;1695;dressé sur les memoires les pl[us] recents, par le sr. Sanson, geographe ordinaire du roy ; L. Cordier sculp.;A Paris : chez H. Jaillot ...;570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-57;;;
1874/20452;204520001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20452;http://hdl.handle.net/1874/20452;Partie meridionale du Comté de Hollande;1760;dressé sur les memoires les pl[us] recents, par le sr. Sanson, geographe ordinaire du roy ; L. Cordier sculp.;A Paris : chez H. Jaillot ... [i.e. anonieme uitgever];570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-58;;;
1874/20453;204530001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20453;http://hdl.handle.net/1874/20453;Comitatus Hollandiæ tabula pluribus locis recens;1680;pluribus locis recens emendata a Justo Danckerts.;;[Amsterdam] : Justus Danckerts;550;450;Schaal [ca. 1:320.000].;Kaart *Blonk* HOL-59;;;
1874/20454;204540001.tiff;http://objects.library.uu.nl/reader/index.php?obj=1874-20454;http://hdl.handle.net/1874/20454;Comitatus Hollandiæ tabula pluribus locis recens;1700;pluribus locis recens emendata a Francisco Caroli ; J. Bormeester. eccu.;Amstel' : Petrum Schenk exc.;560;460;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-60;;;
1874/20455;204550001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20455;http://hdl.handle.net/1874/20455;Comitatus Hollandiæ tabula denuo in lucem;1683;edita à Carolo Allard Amstelodami.;;'t Amsterdam : gedruckt by, Carel Allard. caart en constverkooper op den Dam inde Caartwinkel;550;470;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-61;;;
1874/20456;204560001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20456;http://hdl.handle.net/1874/20456;Comitatus Hollandiæ tabula pluribus locis recens;1690;pluribus locis recens emendata a Frederico de Wit.;;Gedruckt 't Amsterdam : by Frederick de Wit ...;550;460;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-62;;;
1874/20457;204570001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20457;http://hdl.handle.net/1874/20457;Le Comté de Hollande;1692;dressé sur les memoires les plus nouveaux par le sr. Sanson, geographe ordinaire du roy.;;A Paris [i.e. Amsterdam] : chez H. Jaillot, aux deux globes [i.e. Pieter Mortier];560;830;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-63a/b;;;
1874/20458;204580001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20458;http://hdl.handle.net/1874/20458;Le Comté de Hollande;1696;dressé sur les memoires les plus nouveaux par le sr. Sanson, geographe ordinaire du roy.;;A Paris [i.e. Amsterdam] : chez H. Jaillot, aux deux globes [i.e. Pieter Mortier];570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-64;;;
1874/20459;204590001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20459;http://hdl.handle.net/1874/20459;Tabula nova Hollandiæ Meridionalis vulgo Zuid-Holland ad usum serenissimi Burgundiæ ducis;1696;[Pieter Mortier].;;Parisiis [i.e. Amsterdam] : [Pieter Mortier];570;440;Schaal [ca. 1:230.000].;Kaart *Blonk* HOL-65;;;
1874/20460;204600001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20460;http://hdl.handle.net/1874/20460;Comitatus Hollandiæ;1692;Harrewijn fecit.;;[Antwerpen] : J. Peeters. ex.;190;150;Schaal [ca. 1:980.000].;Kaart *Blonk* HOL-66;;;
1874/20461;204610001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20461;http://hdl.handle.net/1874/20461;Contado d'Ollanda, parte settentrionale;1692;[Vincenzo Coronelli].;;[Venezia] : [Vincenzo Coronelli];600;450;Schaal [ca. 1:200.000].;Kaart *Blonk* HOL-67;;;
1874/20462;204620001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20462;http://hdl.handle.net/1874/20462;Contado d'Ollanda, parte meridionale;1692;[Vincenzo Coronelli].;;[Venezia] : [Vincenzo Coronelli];610;460;Schaal [ca. 1:200.000].;Kaart *Blonk* HOL-68;;;
1874/20463;204630001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20463;http://hdl.handle.net/1874/20463;"Hollandiæ Comitatus in ejusdem subjacentes ditiones; una cum toto Ultrajectino Dominio, nec non maximis partibus Geldriæ Ducatus, Frisiæ Comitatus, aliarumq[ue] vicinarum provinciarum foederatarum; exactissimè delineatus";1696;per Nicolaum Visscher ... ; G. Gouwen schulp..;t' Amsteldam : door Nicolaus Visscher [II];560;750;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-69;;;
1874/20464;204640001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20464;http://hdl.handle.net/1874/20464;Comitatus Hollandiæ nova descriptio;1697;A: de Winter schulp.;;A Amsterdam : chez Henri Wetstein;220;190;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-70;;;
1874/20465;204650001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20465;http://hdl.handle.net/1874/20465;Comitatus Hollandiæ tabula pluribus locis recens;1725;pluribus locis recens emendata a Nicolao Visscher.;;[Amsterdam] : nunc apud Petrum Schenk junior;570;460;Schaal [ca. 1:300.000].;Kaart *Blonk* HOL-71;;;
1874/20466;204660001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20466;http://hdl.handle.net/1874/20466;Les provinces de la Hollande et d'Utrecht;1700;[Anthoni de Winter];;[Amsterdam] : [François Halma];250;210;Schaal [ca. 1:800.000].;Kaart *Blonk* HOL-72;;;
1874/20467;204670001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20467;http://hdl.handle.net/1874/20467;De provintien van Hollandt en Utrecht;1705;[Anthoni de Winter];;[Amsterdam] : [François Halma];250;210;Schaal [ca. 1:800.000].;Kaart *Blonk* HOL-73;;;
1874/20468;204680001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20468;http://hdl.handle.net/1874/20468;'T Graavschap Holland en Sticht van Utrecht nevens de voornaamste delen van Gelderland in haar minder verdeling op niews verbetert;1704;per C. Specht.;;T'Utrecht : door Caspar Specht;570;510;Schaal [ca. 1:310.000].;Kaart *Blonk* HOL-74;;;
1874/20469;204690001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20469;http://hdl.handle.net/1874/20469;Kaart van 't Graafschap Holland naauwkeurig afgedeelt in zyne heemraadschappen, baljuwschappen en waarden, nevens verscheide andere minder afdeelingen en onderhorige landen als mede van de Heerlykheit Utrecht en het grootste gedeelte van Gelderlandt;1725;per C. Specht.;;Te Amsterdam : by Reinier en Josua Ottens ...;570;510;Schaal [ca. 1:310.000].;Kaart *Blonk* HOL-75;;;
1874/20470;204700001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20470;http://hdl.handle.net/1874/20470;Belgio confederato altrimenti detto l'Olanda, delineato;1706;delineato, e descritto dal P. Coronelli.;;[Napoli] : [Vincenzo Coronelli];180;130;Schaal [ca. 1:1.200.000].;Kaart *Blonk* HOL-76;;;
1874/20471;000710.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20471;http://hdl.handle.net/1874/20471;Condado de Olanda;1709;[Jacques Harrewijn].;;[Madrid] : [Francisco Laso];180;150;Schaal [ca. 1:1.000.000].;Kaart *Blonk* HOL-77;;;
1874/20472;204720001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20472;http://hdl.handle.net/1874/20472;Kaartje van de provincie van Zuid Holland na de laaste verbetering;1750;[Jacob Keizer];;[Amsterdam] : [Reinier en Josua Ottens];250;180;Schaal [ca. 1:550.000].;Kaart *Blonk* HOL-78;;;
1874/20473;204730001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20473;http://hdl.handle.net/1874/20473;La Hollande suivant les nouvelles observations de messrs. de l'Academie Royale des Sciences, etc. augmentées de nouveau;1713;[Pieter van der Aa];;A Leide : chez Pierre van der Aa;410;340;Schaal [ca. 1:900.000].;Kaart *Blonk* HOL-79;;;
1874/20474;204740001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20474;http://hdl.handle.net/1874/20474;Ollandt;1724;[Domenico Lovisa graveur].;;[Venezia] : [Domenico Lovisa];110;80;Schaal [ca. 1:1.800.000].;Kaart *Blonk* HOL-80;;;
1874/20475;000714-8.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20475;http://hdl.handle.net/1874/20475;[Kaart van het zuidelijk deel van Holland];1750;[Jacob Keizer].;;Te Amsterdam : by Reinier en Josua Ottens;1580;1115;Schaal [ca. 1:95.000].;Kaart *Blonk* HOL-81;;Hier is geen gemonteerde afbeelding voor;welke afbeelding wil je gebruiken?
1874/20476;204760001.tif;http://objects.library.uu.nl/reader/index.php?obj=1874-20476;http://hdl.handle.net/1874/20476;Holland;1725;[François Halma].;;[Leeuwarden] : [Henrik Halma];330;430;Schaal [ca. 1:440.000].;Kaart *Blonk* HOL-82;;;
